index,Date,URL,Hit Sentence,Influencer,Country,Language,Reach,Engagement,AVE,Sentiment,Key Phrases,Input Name,Keywords,Twitter Authority,Tweet Id,Twitter Id,Twitter Client,Twitter Screen Name,User Profile Url,Twitter Bio,Twitter Followers,Twitter Following,Alternate Date Format,Time,State,City,Views,Likes,Replies,Retweets,Shares,Reactions,Threads,Is Verified,Parent URL
9,06-Apr-2023 01:36PM,http://twitter.com/davidhogg111/statuses/1644031318597206016,"Today in Nashville “YOU BAN BOOKS, YOU BAN DRAG— KIDS ARE STILL IN BODY BAGS.” Students demanding gun safety chant   /7SRZ7lHMqt",@davidhogg111,Unknown,English,1233494.0,67528,11409.82,Neutral,"BAN BOOKS,KIDS,gun safety chant",(book OR books) NEAR (ban OR banned OR banning OR ban,"BAN,BOOKS",10.0,"""1644031318597206016""","""1915033663""",Twitter for iPhone,David Hogg ☮️,http://www.twitter.com/davidhogg111,A March For Our Lives founder and board member. Text JOIN to 954-954 to join us. contactdavidhogg@gmail.com,1233494.0,2625.0,6-Apr-23,1:36 PM,,,2141285.0,52743,4039,10746.0,10746,52743,4039,True,
13,12-Sep-2023 11:57AM, //twitter.com/CalltoActivism/statuses/1701626099648614674,"JUST NOW: Illinois Secretary of State Alexi Giannoulias SILENCES Lindsey Graham during a hearing on Republican book banning: He says it PERFECTLY. 👇 “Don’t let one parent who disagrees with a certain world view determine whether a book should be in a library. That goes against the very point of our Democracy, (it hinders) the means to educate our youth, and to allow them to think for themselves.” Illinois is the first state to enact a law that requires state libraries uphold a pledge not to ban material because of partisan disapproval. Smash that heart if you agree books should be READ and not BANNED! 💙",@calltoactivism,United States,English,1051408.0,74218,9725.52,Neutral,"book,certain world view,heart,library,material,parent,partisan disapproval,pledge,very point,youth",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,banning",10.0,"""1701626099648614674""","""819994707061248001""",,CALL TO ACTIVISM, //twitter.com/CalltoActivism,We work with your favorite Democratic candidates and help them win. Pew Research credits us with overshadowing MAGA on social media.,1051408.0,1921.0,12-Sep-23,11:57 AM,,,2682633.0,56049,3941,13330.0,13330,56947,3941,False,
21,08-Mar-2023 05:41PM,http://twitter.com/ReallyAmerican1/statuses/1633598905005817859,"BREAKING: In response to right wing pressure to ban books across America, Illinois Secretary of State Alexi @Giannoulias is the first-in-the-nation to propose an innovative way to FIGHT BACK against such bans. “Under the new bill, Illinois libraries would be required to either…   /HdxpuRgAN9",@ReallyAmerican1,Unknown,English,593490.0,59252,5489.78,Negative,"BREAKING,innovative way,nation to propose,new bill,response,such bans,wing pressure",(book OR books) NEAR (ban OR banned OR banning OR ban,"ban,books",10.0,"""1633598905005817859""","""767788995962998784""",Twitter for iPhone,Really American 🇺🇸,http://www.twitter.com/ReallyAmerican1,Grassroots political organization and media producing the most impactful political content on a daily basis. Join us.,593490.0,2544.0,8-Mar-23,5:41 PM,,,3200426.0,49286,1982,7651.0,7651,49619,1982,False,
26,12-Jun-2023 02:32PM,http://twitter.com/CalltoActivism/statuses/1668325303112826883,"🚨🚨🚨MAJOR BREAKING: In direct response to Ron DeSantis’ book banning in Florida, Illinois Governor JB Pritzker just signed a law that will make Illinois the FIRST state to END book bans! Oh this is good. Not only will it stop Illinois libraries across the states from…   /X6Ed9w3N15",@CalltoActivism,United States,English,1035823.0,50554,9581.36,Negative,"book bans,direct response to Ron DeSantis",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,banning,bans",10.0,"""1668325303112826883""","""819994707061248001""",Twitter for iPhone,CALL TO ACTIVISM,http://www.twitter.com/CalltoActivism,We’re Democrats working to save Democracy. Pew Research credits us with overshadowing MAGA on social media. We help Democratic candidates win.,1035823.0,1978.0,12-Jun-23,2:32 PM,,,1839572.0,41683,1808,7063.0,7063,41683,1808,True,
48,29-Apr-2023 03:37PM,http://twitter.com/ReallyAmerican1/statuses/1652396682129166339,"THIS IS HOW IT’S DONE: Ron DeSantis is leading the charge by radical and authoritarian Republicans to ban books across America. Illinois Secretary of State Alexi @Giannoulias has figured out a brilliant way to FIGHT BACK, and has put forward the first-in-the-nation against such…   /cZWQk0ReLx",@ReallyAmerican1,Unknown,English,625620.0,39061,5786.98,Positive,"charge,nation,out a brilliant way",(book OR books) NEAR (ban OR banned OR banning OR ban,"ban,books",10.0,"""1652396682129166339""","""767788995962998784""",Twitter for iPhone,Really American 🇺🇸,http://www.twitter.com/ReallyAmerican1,Grassroots political organization and media producing the most impactful political content on a daily basis. Join us.,625620.0,2554.0,29-Apr-23,3:37 PM,,,1894253.0,31848,1571,5642.0,5642,31848,1571,True,
82,12-Sep-2023 12:28PM, //twitter.com/libsoftiktok/statuses/1701633982239236551,"In response to Illinois passing a law against “book bans”, @SenJohnKennedy read from the pornographic book Gender Queer. Illinois Sec. of State responds by saying ""those words are disturbing.” Disturbing for adults but totally ok for kids in IL schools!   /Nfy8KGaOBs",@libsoftiktok,Unknown,English,2533927.0,36050,23438.82,Negative,"adults,law against “book,pornographic book gender queer,schools,words",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,bans",10.0,"""1701633982239236551""","""1326229737551912960""",,Libs of TikTok, //twitter.com/libsoftiktok,News you won’t see anywhere else. 📧 submissions@libsoftiktok.com. DM submissions. Bookings: bookings@libsoftiktok.com. ⬇️Subscribe to our newsletter,2533927.0,766.0,12-Sep-23,12:28 PM,,,1274448.0,25237,852,9211.0,9211,25987,852,True,
95,18-Oct-2023 12:42PM,http://twitter.com/CalltoActivism/statuses/1714683286235033829,"This gets even better for Democrats. Governor JB Pritzker, who just launched a major organization to win in swing states, is ready to push his measures in other states. In direct response to Ron DeSantis’ book banning in Florida, Illinois just signed a law that will make…   /VuL9R5y9mt",@CalltoActivism,United States,English,1077380.0,33916,9965.76,Negative,"book,direct response to ron desantis,major organization,measures,swing states",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,banning",10.0,"""1714683286235033829""","""819994707061248001""",Twitter for iPhone,CALL TO ACTIVISM,http://www.twitter.com/CalltoActivism,We help your favorite Democratic candidates communicate more effectively. We influence influencers to write like us. Biden 2020 Digital Alum.,1077380.0,1939.0,18-Oct-23,12:42 PM,,,1803726.0,26365,1308,6045.0,6045,26563,1308,True,
116,06-Apr-2023 12:08PM,http://twitter.com/AMarch4OurLives/statuses/1644009300484927490,"“YOU BAN BOOKS, YOU BAN DRAG— KIDS ARE STILL IN BODY BAGS.” Prioritize what’s killing our kids: GUNS. #Nashville   /07yAyHQESw",@AMarch4OurLives,Unknown,English,447544.0,24693,4139.78,Negative,"BAN BOOKS,GUNS,kids",(book OR books) NEAR (ban OR banned OR banning OR ban,"BAN,BOOKS",10.0,"""1644009300484927490""","""965015705123930114""",Twitter for iPhone,March For Our Lives ☮️,http://www.twitter.com/AMarch4OurLives,"stay involved, text NEXT to 954-954. 📢 rts ≠ endorsements",447544.0,814.0,6-Apr-23,12:08 PM,,,813265.0,17202,1201,5705.0,6140,17352,1201,True,
118,27-May-2023 01:28PM, //twitter.com/Robert_Simmons3/statuses/1662511163085553666,Illinois to Become First State to Ban Book Bans   /TWlQyHE4r8,@robert_simmons3,Unknown,English,3940.0,25513,36.45,Neutral,,(book OR books) NEAR (ban OR banned OR banning OR ban,"Ban,Book,Bans",7.0,"""1662511163085553666""","""984590503""",Twitter for iPhone,Robert Simmons III, //twitter.com/Robert_Simmons3,Head of Social Impact & STEM @MicronTech | Scholar in Residence & Scholar of Antiracist Praxis @AU_SchoolofEd | Detroit raised me | My views not my employer,3940.0,4321.0,27-May-23,1:28 PM,,,607565.0,20725,300,4488.0,4488,20725,300,False,
124,12-Jun-2023 05:21PM,http://twitter.com/WGNNews/statuses/1668368043720732674,"With the stroke of his pen, Governor J.B. Pritzker made Illinois the first state in the nation to ban book bans.   /EOSTXOU1jz",@WGNNews,United States,English,394869.0,25691,3652.54,Negative,"book bans,nation,stroke",(book OR books) NEAR (ban OR banned OR banning OR ban,"ban,book,bans",10.0,"""1668368043720732674""","""14790524""",TweetDeck,WGN TV News,http://www.twitter.com/WGNNews,"Chicago's very own source for news, weather, sports and entertainment. Join us on Facebook http://on.fb.me/cOkIXr & Instagram  //instagram.com/wgnnews/",394869.0,1175.0,12-Jun-23,5:21 PM,Illinois,Chicago,684805.0,21069,1074,3548.0,3548,21069,1074,False,
