index,Date,URL,Hit Sentence,Influencer,Country,Language,Reach,Engagement,AVE,Sentiment,Key Phrases,Input Name,Keywords,Twitter Authority,Tweet Id,Twitter Id,Twitter Client,Twitter Screen Name,User Profile Url,Twitter Bio,Twitter Followers,Twitter Following,Alternate Date Format,Time,State,City,Views,Likes,Replies,Retweets,Shares,Reactions,Threads,Is Verified,Parent URL
34,28-Jan-2023 04:35PM,http://twitter.com/JoeBiden/statuses/1619448984753274880,"In the 10 years that the assault weapons ban was on the books, mass shootings went down. The American people agree: Congress should send this ban to my desk.",@JoeBiden,United States,English,36871812.0,45374,341064.26,Negative,"assault weapons ban,books,desk,mass shootings",(book OR books) NEAR (ban OR banned OR banning OR ban,"ban,books",10.0,"""1619448984753274880""","""939091""",Sprout Social,Joe Biden,http://www.twitter.com/JoeBiden,"Husband to @DrBiden, proud father and grandfather. Ready to build back better for all Americans. Official account is @POTUS.",36871812.0,47.0,28-Jan-23,4:35 PM,"Washington, D.C.","Washington, D.C.",3789050.0,31494,8690,5135.0,5135,31549,8690,True,
43,27-Mar-2023 09:36PM,http://twitter.com/SergeantAqGo/statuses/1640528176156647424,"You can ban all the books you want, but you won’t prevent the terror this little girl experienced. Shame on them for not caring enough to change the laws and shame on the voters who keep electing making excuses or avoiding to address this mass shooting epidemic.   /TUEYLDADlq",@SergeantAqGo,United States,English,126281.0,38294,1168.1,Negative,"books,excuses,laws and shame,mass shooting epidemic,terror,voters",(book OR books) NEAR (ban OR banned OR banning OR ban,"ban,books",10.0,"""1640528176156647424""","""1355978550239752193""",Twitter for iPhone,"Staff Sergeant Gonell, Aquilino",http://www.twitter.com/SergeantAqGo,"Fr.Police Sgt.defended the US @home/abroad.Presidential citation, Author of upcoming book""American Shield:The Immigrant Sergeant Who Defended Democracy” 11/2023",126281.0,2533.0,27-Mar-23,9:36 PM,,,722184.0,29414,547,8333.0,8333,29414,547,False,
90,08-May-2023 01:06PM,http://twitter.com/ReallyAmerican1/statuses/1655620127986003982,"A TALE OF TWO DIFFERENT VISIONS FOR AMERICA: Under Greg Abbotts leadership, Texas has banned more books than *any* state in America, while simultaneously suffering from an unprecedented epidemic of mass shootings. At the same time, Abbott has cut hundreds of millions in mental…   /yA1NYYGzLg",@ReallyAmerican1,Unknown,English,627198.0,28526,5801.58,Negative,"DIFFERENT VISIONS,Greg Abbotts leadership,TALE,books,cut hundreds,mass shootings,millions,unprecedented epidemic",(book OR books) NEAR (ban OR banned OR banning OR ban,"banned,books",10.0,"""1655620127986003982""","""767788995962998784""",Twitter for iPhone,Really American 🇺🇸,http://www.twitter.com/ReallyAmerican1,Grassroots political organization and media producing the most impactful political content on a daily basis. Join us.,627198.0,2554.0,8-May-23,1:06 PM,,,1742916.0,21599,1066,5861.0,5861,21599,1066,True,
229,29-Mar-2023 01:46PM,http://twitter.com/therecount/statuses/1641134778752565253,“You guys are worried about banning books — dead kids can’t read.” — Rep. Jared Moskowitz (D-FL) hits back at Rep. Marjorie Taylor Greene (R-GA) over gun safety following the Nashville school mass shooting   /VdaLlsBboO,@therecount,United States,English,362625.0,16028,3354.28,Negative,"books,dead kids,gun safety",(book OR books) NEAR (ban OR banned OR banning OR ban,"banning,books",10.0,"""1641134778752565253""","""1087380412089987077""",Twitter Media Studio,The Recount,http://www.twitter.com/therecount,Everything is politics. Download our app & subscribe to our newsletter. 📩 info@therecount.com,362625.0,703.0,29-Mar-23,1:46 PM,New York,New York City,844189.0,12092,573,3363.0,3363,12092,573,True,
238,25-Jun-2023 09:16PM,http://twitter.com/ResisterSis20/statuses/1673138018666921986,"What has DeSantis done for Florida? He banned books that promote multiculturalism, history, and diversity. He made the state open carry making it easier for mass killers to be successful. He made society untenable for migrants causing a mass exodus, damaging construction,…   /PkKAxiMy1C",@ResisterSis20,Unknown,English,138565.0,15024,1281.73,Negative,"books,damaging construction,diversity,history,mass exodus,mass killers,promote multiculturalism,society",(book OR books) NEAR (ban OR banned OR banning OR ban,"banned,books",10.0,"""1673138018666921986""","""328756439""",Twitter for iPad,Southern Sister Resister - Wordsmith #IAmTheStorm,http://www.twitter.com/ResisterSis20,"I am a Reader, Writer, Thinker, Teacher, Friend to few, Lover to one, Hated by some…Blood and Bone Woman.",138565.0,81878.0,25-Jun-23,9:16 PM,,,946807.0,10711,597,3716.0,3716,10711,597,True,
276,08-Sep-2023 03:48AM,http://twitter.com/AmoneyResists/statuses/1700053391777399263,GOP 2023 Platform: —Pro-slavery —Pro-white supremacy —Pro-insurrection —Pro-child labor/marriage —Pro-book bans —Pro-forced birth —Pro-mass shootings —Pro-tax cuts for the top 1% —Pro-Putin —Anti-civil rights —Anti-science —Anti-education —Anti-democracy —Anti-gay —Anti-immigrant,@AmoneyResists,United States,English,231471.0,16917,2141.11,Negative,"anti-democracy,anti-education,anti-science,civil rights,forced birth,pro-book,pro-child labor/marriage,pro-insurrection,pro-mass shootings,pro-slavery,pro-tax cuts,white supremacy",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,bans",10.0,"""1700053391777399263""","""739844197935644672""",Twitter for iPhone,Andrew—Author of America Rises Newsletter—Wortman,http://www.twitter.com/AmoneyResists,Pro-Democracy. Anti-Fascism. Gay AF. The @GOP is all-in on burning down the republic because we elected a Black POTUS in 2008 #BlackLivesMatter #ExpandTheCourt,231471.0,98162.0,8-Sep-23,3:48 AM,Rhode Island,Warwick,253629.0,9814,1444,5143.0,5441,10032,1444,False,
284,06-Apr-2023 11:12AM,http://twitter.com/MuellerSheWrote/statuses/1643995012227801088,"Watching republicans ban books, demand genital inspections, whitewash history, perpetuate gun violence, and take away people’s rights is resulting in a massive youth rebellion. Kids aren’t stupid. Republicans are for underestimating them. I give it two more election cycles.",@MuellerSheWrote,United States,English,621255.0,14059,5746.61,Negative,"demand,election cycles,genital inspections,gun violence,massive youth rebellion,whitewash history",(book OR books) NEAR (ban OR banned OR banning OR ban,"ban,books",10.0,"""1643995012227801088""","""926164634570067968""",Twitter for iPhone,"Mueller, She Wrote",http://www.twitter.com/MuellerSheWrote, //post.news/@/MuellerSheWrote Tweets by @allisongill. http://muellershewrote.com She/her. BLM ▶️ @dailybeanspod,621255.0,9438.0,6-Apr-23,11:12 AM,California,San Diego,279006.0,11088,449,2522.0,2522,11088,449,True,
314,02-May-2023 04:04PM,http://twitter.com/TeamPelosi/statuses/1653490594969206785,"We have had over a dozen mass shooting since last Friday, leaving families and communities devastated — and still, Republicans would rather ban books than assault weapons. Democrats will never stop fighting to keep America's children safe from guns. -NP",@TeamPelosi,United States,English,1031757.0,13029,9543.75,Negative,"assault weapons,ban books,dozen mass shooting,families and communities,guns",(book OR books) NEAR (ban OR banned OR banning OR ban,"ban,books",10.0,"""1653490594969206785""","""2461810448""",Twitter Web App,Nancy Pelosi,http://www.twitter.com/TeamPelosi,"House Speaker Emerita. #CA11 Congresswoman. “Don’t Agonize, Organize!” Tweets from Nancy are signed -NP",1031757.0,7736.0,2-May-23,4:04 PM,California,San Francisco,242503.0,7109,3583,2151.0,2337,7109,3583,False,
319,22-Sep-2023 03:47PM,http://twitter.com/TonyHussein4/statuses/1705307965505319413,"Governor Maura Healey, a Democrat, announced that in blue state Massachusetts, breakfast and lunch will be free for every public school student. Republican-led red states like Texas and Florida, are defunding public schools, attacking teachers, banning books, and passing…   /nYAZiXKZiZ",@TonyHussein4,Unknown,English,69270.0,14843,640.75,Negative,"books,breakfast and lunch,public school student,teachers",(book OR books) NEAR (ban OR banned OR banning OR ban,"banning,books",9.0,"""1705307965505319413""","""1270133776748855304""",Twitter Web App,Tony - Resistance,http://www.twitter.com/TonyHussein4,"#Resistance - Info about Democratic Pro-Choice Candidates, The Supreme Court, Women's Rights, Voting Rights, LGBTQ+ Rights, Justice, Nature, and Dog Lover.",69270.0,19064.0,22-Sep-23,3:47 PM,,,286061.0,11873,42,2879.0,2879,11922,42,True,
352,15-Jun-2023 07:55PM,http://twitter.com/MsKerolynC/statuses/1669493890053812225,"Texas teachers are quitting en masse, citing recent school board decisions involving book bans, low pay, LGBTQ issues, and lack of support from parents. Students don't feel safe either.  /0b4z393Etv",@MsKerolynC,United States,English,13497.0,10110,124.85,Negative,"LGBTQ issues,book,lack of support from parents,low pay,recent school board decisions",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,bans",8.0,"""1669493890053812225""","""2810639647""",Twitter Web App,Kerolyn Christine,http://www.twitter.com/MsKerolynC,8/12/17🏳️‍🌈Furious Defender of LGBTQ Rights & Equality🏳️‍🌈Health Care Advocate🌈Free Spirit Transgender Princess🌈🌊#TheResistance #BlueTsunami #ExpectUs🌊,13497.0,12598.0,15-Jun-23,7:55 PM,Minnesota,Minneapolis,170284.0,6434,589,3087.0,3087,6434,589,True,
