index,Date,Time,URL,Hit Sentence,Influencer,Country,Language,Reach,Engagement,AVE,Sentiment,Key Phrases,Input Name,Keywords,Twitter Authority,Tweet Id,Twitter Id,Twitter Client,Twitter Screen Name,User Profile Url,Twitter Bio,Twitter Followers,Twitter Following,Alternate Date Format,Time,State,City,Views,Likes,Replies,Retweets,Shares,Reactions,Threads,Is Verified,Parent URL
55,22-May-23,01:54AM,http://twitter.com/notcapnamerica/statuses/1660524580325212160,"Kansas City, MO man Ryan Utterback sought to ban several LGBT books from schools for allegedly depicting sexual content and ""grooming"" children. He's now facing a felony charge of second-degree child molestation.   /7oWx9kk85r",@notcapnamerica,United States,English,148585,33701,1374.41,Negative,"children,felony charge,grooming,schools,second-degree child molestation,several LGBT books,sexual content",(book OR books) NEAR (ban OR banned OR banning OR ban,"ban,books",10,"""1660524580325212160""","""33913156""",Twitter Web App,chris evans,http://www.twitter.com/notcapnamerica,✊🏽🏳️‍🌈 Small business owner. Receipts provider 🧾 Movie live-tweeter. business inquiries: chris@notcapnamerica.com,148585,4797,22-May-23,1:54 AM,New York,New York City,856726,25054,683,7964,7964,25054,683,FALSE,
220,31-Mar-23,05:20AM,http://twitter.com/tommyboy0690/statuses/1641732068148146176,Missouri Reps Just Voted To Completely Defund The State's Public Libraries. The new budget sets funds for libraries to $0. Library groups say the move is retaliation for suing the state over its recent book ban law.   /7tYkUGfH29,@tommyboy0690,United States,English,36088,14807,333.81,Negative,"Library groups,funds for libraries,move,new budget,recent book ban law",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,ban",8,"""1641732068148146176""","""140237362""",Twitter Web App,Tom Williams,http://www.twitter.com/tommyboy0690,"Lifelong Democrat Want to spread the truth, Owner of Boston Movie Screeners Meet Up Group Follow those that follow me, unfollow those that don't. No DMs please",36088,36744,31-Mar-23,5:20 AM,Massachusetts,Boston,448659,8288,1275,5244,5244,8288,1275,FALSE,
499,11-Apr-23,06:49PM,http://twitter.com/NathanMackBrown/statuses/1645922087280824320,"BREAKING: Republicans in my state of Missouri voted to strip ALL public libraries of their funding. First they ban books, now they go after libraries. What will be next? Here are the gory details from Alternet: ""Republicans in the Missouri State House of Representatives on…   /V2dmKMTcME",@NathanMackBrown,United States,English,107098,7034,990.66,Negative,"BREAKING,ban books,funding,gory details,public libraries",(book OR books) NEAR (ban OR banned OR banning OR ban,"ban,books",10,"""1645922087280824320""","""993137216309383169""",Twitter for iPhone,Nathan Mackenzie Brown 🔬🌎,http://www.twitter.com/NathanMackBrown,Pro-climate. Pro-democracy. Political Strategist tweeting to stop the MAGA Christian Taliban from destroying our future 🛑,107098,503,11-Apr-23,6:49 PM,Missouri,,625992,4547,495,1818,1992,4547,495,TRUE,
593,12-Apr-23,02:20AM,http://twitter.com/lindyli/statuses/1646035598254243840,Missouri Republicans have voted to DEFUND all libraries Florida Republicans have BANNED classic books like Anne Frank’s diary & The Handmaid’s Tale Texas Republicans are CLOSING some of its libraries They’re doing this to keep us dumb & uneducated Morons are easier to control,@lindyli,United States,English,317257,5599,2934.63,Negative,"Anne Frank’s diary,classic books,libraries,uneducated Morons",(book OR books) NEAR (ban OR banned OR banning OR ban,"BANNED,books",10,"""1646035598254243840""","""270132611""",Twitter for iPhone,Lindy Li,http://www.twitter.com/lindyli,political strategist. @joebiden delegate 🇺🇸. @princeton alumni class president. vegan. runner 🏃🏻‍♀️ instagram: lindy_li,317257,199,12-Apr-23,2:20 AM,Pennsylvania,Philadelphia,61117,3984,137,1478,1478,3984,137,FALSE,
624,20-May-23,11:49PM,http://twitter.com/tedlieu/statuses/1660130674677010432," @MSNBC: The party that supports banning books is the party that is on the wrong side of history. ; Nearly 1,500 instances of book-banning were charted across the U.S. in the first half of the 2022-23 school year, a new report finds, with bans most prevalent in Texas, Florida, Missouri, Utah, and South Carolina. (via The ReidOut Blog)   /mWNzhHde5Z",@tedlieu,United States,English,1659856,5897,15353.67,Negative,"book,first half,history,instances,new report,party,wrong side",(book OR books) NEAR (ban OR banned OR banning OR ban,"banning,books,book",10,"""1660130674677010432""","""21059255""",Twitter for iPhone,Ted Lieu,http://www.twitter.com/tedlieu,"Husband of Betty, the love of my life. Father of two great kids. USAF veteran. Member of Congress. In that order. Also, empathy is good.",1659856,11370,20-May-23,11:49 PM,California,,247853,3924,1155,818,818,3924,1155,TRUE, //twitter.com/MSNBC/statuses/1660125935658582017
627,14-Jun-23,11:05AM,http://twitter.com/EdgeofSports/statuses/1668998181240152070," @ThePlumLineGS: The nudity in Maus consists the naked being led into gas chambers. It's morally repugant for the state of Missouri to define such a thing as ""explicit sexual material"". To be clear: banning this book is an obscenity against the victims of the Holocaust. ; Just awful: A Missouri school board is set to decide whether to remove ""Maus"" after employees flagged it for review, due to a law banning ""explicit sexual material."" I spoke to Art Spiegelman. He fears our country is ""yearning"" for ""authoritarianism.""   /C4PjlFCJ4D",@EdgeofSports,United States,English,109017,5422,1008.41,Negative,"book,country,employees,explicit sexual material,fears,gas chambers,obscenity,review,set to decide,victims",(book OR books) NEAR (ban OR banned OR banning OR ban,"banning,book",10,"""1668998181240152070""","""50684256""",Twitter Web App,Dave Zirin,http://www.twitter.com/EdgeofSports,Sports editor @thenation. Edge of Sports TV at http://youtube.com/therealnews Host of the Edge of Sports Podcast. Co-host of WPFW's The Collision.,109017,1183,14-Jun-23,11:05 AM,"Washington, D.C.","Washington, D.C.",221467,4144,52,1226,1226,4144,52,FALSE, //twitter.com/ThePlumLineGS/statuses/1668951647819649026
648,29-Mar-23,11:29PM,http://twitter.com/GrimKim/statuses/1641281455299915777,"Librarians in Missouri fought back against a book ban and in response, Republican politicians are trying to defund the state’s entire public library system.   /9P9hfhD6Ta",@GrimKim,United States,English,127796,4658,1182.11,Negative,"Republican politicians,book ban,entire public library system,response",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,ban",10,"""1641281455299915777""","""15814350""",Twitter for iPhone,Kim Kelly,http://www.twitter.com/GrimKim,Feral freelance journalist / Author of ‘FIGHT LIKE HELL: The Untold History of American Labor’/ Labor column @teenvogue + @fastcompany / kimkellywrites@gmail 🏴,127796,11622,29-Mar-23,11:29 PM,Pennsylvania,Philadelphia,230743,2804,62,1618,1792,2804,62,TRUE,
664,1-Apr-23,10:05AM,http://twitter.com/cardon_brian/statuses/1642166222711029762,"In MO the extremist Republicans pulled all state aid for public libraries from the budget because they are mad that the librarians are suing the state for banning books, State Rep. Peter Merideth (D-MO) has some choice words. Listen! 👇#wtpBlue #DemVoice1   /HqohWGaOJI",@cardon_brian,United States,English,9563,4454,88.46,Negative,"books,budget,choice words,public libraries",(book OR books) NEAR (ban OR banned OR banning OR ban,"banning,books",8,"""1642166222711029762""","""1939118838""",Twitter Web App,Brian Cardone 🏴‍☠️🇺🇦,http://www.twitter.com/cardon_brian,#LincolnVoter #DemsAct #DemVoice1 #wtpBlue.,9563,6064,1-Apr-23,10:05 AM,North Carolina,,195501,2625,142,1687,1687,2625,142,FALSE,
688,30-Mar-23,04:52PM,http://twitter.com/StopGOPFox/statuses/1641544004297711616,"Republicans in Missouri have voted to defund the public library system. After the ACLU sued over the state's book bans, the GOP has retaliated by voting to take a match not only to books, but the entire library system. #FreshResists #VoteBIGblue #DemVoice1   /5sZtuvalGN   /ffZ39u7VJ1",@StopGOPFox,United States,English,10904,3985,100.86,Negative,"book,entire library system,match",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,bans",7,"""1641544004297711616""","""846227459984973824""",Twitter Web App,Stop the GQP and Fox News,http://www.twitter.com/StopGOPFox,We fight crazy with snark & feels! 💙 🌈 🌊 #FauxNews #CancelFoxNews #FoxFiction #FoxNewsLies #GQPClownShow #KochNetwork Let us know if you'd like to help!,10904,11761,30-Mar-23,4:52 PM,Texas,Texas City,64004,1778,304,1708,1903,1778,304,FALSE,
871,23-May-23,09:47AM,http://twitter.com/KyleGarnerMO/statuses/1661005831134130176,A Chesterfield Nazi tried to assassinate Biden. Missouri has a radical white supremacist problem. Thankfully Republican rulers here are tackling the real problems by banning healthcare and books or making sure terrorists don't get taxed on their bullets.   /z91UVBtuLR,@KyleGarnerMO,Unknown,English,2989,3581,27.65,Negative,"bullets,healthcare and books,radical white supremacist problem,real problems,sure terrorists",(book OR books) NEAR (ban OR banned OR banning OR ban,"banning,books",7,"""1661005831134130176""","""3242532865""",Twitter Web App,Kyle Garner,http://www.twitter.com/KyleGarnerMO,"Proud Missourian, Democrat, dad, occasional rabble rouser. Truth matters. Facts matter. People matter. Do good.",2989,540,23-May-23,9:47 AM,,,69061,2533,145,903,903,2533,145,TRUE,
