index,Date,URL,Hit Sentence,Influencer,Country,Language,Reach,Engagement,AVE,Sentiment,Key Phrases,Input Name,Keywords,Twitter Authority,Tweet Id,Twitter Id,Twitter Client,Twitter Screen Name,User Profile Url,Twitter Bio,Twitter Followers,Twitter Following,Alternate Date Format,Time,State,City,Views,Likes,Replies,Retweets,Shares,Reactions,Threads,Is Verified,Parent URL
38,12-Apr-2023 05:02PM,http://twitter.com/emteehall/statuses/1646257487547625472," @emteehall: OK. No more subtweeting. This is what happened. Full story at the link. I'm so disappointed and furious and unsurprised. But I also have receipts. Scholastic wanted to feature my book, but ONLY if I censored the word RACISM from the author's note.   /Ge0HwiGUFK   /RDtORlTndl ; If you ever wondered what publishers are doing in the face of school book bans, it's not what you'd hope, and it's exactly what you'd think.",@emteehall,United States,English,7318.0,37241,67.69,Negative,"Full story,author,book,face of school book,note,receipts,word RACISM",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,bans",8.0,"""1646257487547625472""","""344199150""",Twitter Web App,maggie tokuda-hall,http://www.twitter.com/emteehall,"Preorder The Siren, The Song and the Spy now! Author of a buncha books, some for little kids some for teens. Cohost @FailureAdapt. Toast enthusiast. she/her",7318.0,2106.0,12-Apr-23,5:02 PM,California,Oakland,5328305.0,24366,754,10520.0,10520,25967,754,False, //twitter.com/emteehall/statuses/1645907176421224448
44,24-Dec-2022 12:35AM,http://twitter.com/msolurin/statuses/1606523909276319745, @MrzIDGaF: YOU SEE WHAT HAPPENS WHEN YOU BAN BOOKS   /AcDWEXBrrm ; Tory Lanez is our modern day Emmitt Till,@msolurin,United States,English,97532.0,40866,902.17,Neutral,BAN BOOKS,(book OR books) NEAR (ban OR banned OR banning OR ban,"BAN,BOOKS",10.0,"""1606523909276319745""","""1046938994766958592""",Twitter for iPhone,Olayemi Olurin,http://www.twitter.com/msolurin,🇧🇸🇳🇬 in NYC | Movement Lawyer | Political Commentator | Writer | substack: olurinatti,97532.0,3203.0,24-Dec-22,12:35 AM,New York,Brooklyn,1618834.0,35566,94,5206.0,5206,35566,94,False, //twitter.com/MrzIDGaF/statuses/1606453167419699200
52,04-Feb-2023 12:35PM,http://twitter.com/SteveSchmidtSES/statuses/1621925346944729088,"If you live in a state where books are being banned, the Brooklyn Public Library offers a free eCard nationwide to those aged 13 to 21 to access their entire digital catalog for one year in an effort to combat this terrible act. Link here:   /KQkeQXbA4d",@SteveSchmidtSES,Unknown,English,1597201.0,33144,14774.11,Negative,"books,effort,entire digital catalog,free eCard nationwide,terrible act",(book OR books) NEAR (ban OR banned OR banning OR ban,"books,banned",10.0,"""1621925346944729088""","""786309892990574592""",Twitter for iPhone,Steve Schmidt,http://www.twitter.com/SteveSchmidtSES,,1597201.0,210.0,4-Feb-23,12:35 PM,,,1091889.0,22262,873,10009.0,10009,22262,873,True,
67,28-Sep-2023 04:47PM,http://twitter.com/itsgabrielleu/statuses/1707497216930374017," @nycsouthpaw: 11 people. ; Just 11 adults are responsible for 60% of requests of ban books from school libraries nationwide, according to a Washington Post analysis of the 2021-2022 school year.   /DVi5zJN35S",@itsgabrielleu,Unknown,English,4357010.0,39271,40302.34,Neutral,"books from school,libraries,requests of ban",(book OR books) NEAR (ban OR banned OR banning OR ban,"ban,books",10.0,"""1707497216930374017""","""256881576""",Twitter for Android,Gabrielle Union,http://www.twitter.com/itsgabrielleu,"Loving fashion, beauty, fitness, dogs and sports :) IG: GabUnion FB: GabrielleUnionOfficial Snap: GabUnionWade",4357010.0,1021.0,28-Sep-23,4:47 PM,,,2161531.0,31230,1090,6598.0,6598,31583,1090,True, //twitter.com/nycsouthpaw/statuses/1707394987539722646
72,02-Jun-2023 04:16PM,http://twitter.com/OccupyDemocrats/statuses/1664727752384315393,BREAKING: MAGA Gov. Sarah Huckabee Sanders is slammed with a lawsuit from a coalition of Arkansas book enthusiasts furious over her deranged new law that threatens librarians with jail time if they help minors get ahold of banned books. The lawsuit correctly states that the GOP…   /NLYVmXbEbO,@OccupyDemocrats,United States,English,556623.0,30932,5148.76,Negative,"BREAKING,books,deranged new law,lawsuit,minors",(book OR books) NEAR (ban OR banned OR banning OR ban,"banned,books",10.0,"""1664727752384315393""","""878284831""",Twitter Web App,Occupy Democrats,http://www.twitter.com/OccupyDemocrats,Democratic political organization & news website. NY Times determined we dominated Trump on Facebook before his ban. Follow us on Tribel:  //bit.ly/3gjUkli,556623.0,23534.0,2-Jun-23,4:16 PM,,,866420.0,22953,1320,6659.0,6659,22953,1320,True,
90,08-May-2023 01:06PM,http://twitter.com/ReallyAmerican1/statuses/1655620127986003982,"A TALE OF TWO DIFFERENT VISIONS FOR AMERICA: Under Greg Abbotts leadership, Texas has banned more books than *any* state in America, while simultaneously suffering from an unprecedented epidemic of mass shootings. At the same time, Abbott has cut hundreds of millions in mental…   /yA1NYYGzLg",@ReallyAmerican1,Unknown,English,627198.0,28526,5801.58,Negative,"DIFFERENT VISIONS,Greg Abbotts leadership,TALE,books,cut hundreds,mass shootings,millions,unprecedented epidemic",(book OR books) NEAR (ban OR banned OR banning OR ban,"banned,books",10.0,"""1655620127986003982""","""767788995962998784""",Twitter for iPhone,Really American 🇺🇸,http://www.twitter.com/ReallyAmerican1,Grassroots political organization and media producing the most impactful political content on a daily basis. Join us.,627198.0,2554.0,8-May-23,1:06 PM,,,1742916.0,21599,1066,5861.0,5861,21599,1066,True,
129,17-Jan-2023 07:09AM,http://twitter.com/FLWillRegret22/statuses/1615320507087290368,The Governor of Florida has banned all books that have anything to do with the Black Experience in America. ALL BOOKS!!! Completely banning the teaching of anything about black people. ONLY White American History will be taught. Pay Attention America and Florida 😳😳😳🤬💩,@FLWillRegret22,United States,English,7926.0,21327,73.32,Negative,BOOKS,(book OR books) NEAR (ban OR banned OR banning OR ban,"banned,books,BOOKS,banning",7.0,"""1615320507087290368""","""3324024455""",Twitter for Android,Resist Republicans in Florida,http://www.twitter.com/FLWillRegret22,🇺🇸✌🏿✌🏾✌🏽✌🏼✌🏻🌈BLM🍄🌺Florida is a Blue state.💙🌊 I will always resist the Republican party and every policy they stand for🎯. From Trump to Desantis💩,7926.0,6932.0,17-Jan-23,7:09 AM,Florida,Orlando,410030.0,12907,1052,6811.0,7368,12907,1052,False,
136,12-Dec-2022 08:56AM,http://twitter.com/JuddLegum/statuses/1602301320609898496,1. This man moved from New York to Florida a few months ago Now he wants to ban 3600 BOOKS from the school libraries And he's already made significant progress Follow along if interested 🧵   /JTqXeshNof,@JuddLegum,United States,English,541742.0,21605,5011.11,Neutral,"BOOKS,school libraries,significant progress",(book OR books) NEAR (ban OR banned OR banning OR ban,"ban,BOOKS",10.0,"""1602301320609898496""","""15464697""",TweetDeck,Judd Legum,http://www.twitter.com/JuddLegum,"I write Popular Information, an independent newsletter dedicated to accountability journalism. DMs open | judd@popular.info | jlegum@protonmail.com",541742.0,1332.0,12-Dec-22,8:56 AM,"Washington, D.C.","Washington, D.C.",0.0,14877,911,5817.0,5817,14877,911,True,
172,20-Feb-2023 08:39AM,http://twitter.com/NYCMayor/statuses/1627664161701339136," @politicony: Welcome to NYC, @GovRonDeSantis, a place where we don’t ban books, discriminate against our LGBTQ+ neighbors, use asylum seekers as props, or let the government stand between a woman and health care. We’re happy to teach you something about values while you’re here. ; Florida governor and potential Republican presidential candidate Ron DeSantis plans to travel to New York City for a law enforcement event Monday   /1VGWz0z4nC",@NYCMayor,United States,English,1597481.0,21872,14776.7,Positive,"asylum seekers,books,neighbors,presidential candidate Ron DeSantis plans,props,woman and health care",(book OR books) NEAR (ban OR banned OR banning OR ban,"ban,books",10.0,"""1627664161701339136""","""19834403""",Twitter for iPhone,Mayor Eric Adams,http://www.twitter.com/NYCMayor,"Delivering a fairer, safer, and brighter future for Every New Yorker. Official account of the 110th Mayor of NYC. He/Him/His",1597481.0,1370.0,20-Feb-23,8:39 AM,New York,New York City,3595441.0,11261,7918,1861.0,2693,11261,7918,True, //twitter.com/politicony/statuses/1627073093071151107
285,06-May-2023 10:18PM,http://twitter.com/lindyli/statuses/1655034235147759618,ONLY in America do women have fewer rights than guns Books are more banned than guns Cars are more regulated than guns Drag shows are more policed than guns Abortion pills are harder to get than guns Welcome to the Killing Fields of America—Courtesy of the greedy f’ing GOP,@lindyli,United States,English,319811.0,13127,2958.25,Negative,"fewer rights,guns,shows,women",(book OR books) NEAR (ban OR banned OR banning OR ban,"Books,banned",10.0,"""1655034235147759618""","""270132611""",Twitter for iPhone,Lindy Li,http://www.twitter.com/lindyli,political strategist. @joebiden delegate 🇺🇸. @princeton alumni class president. vegan. runner 🏃🏻‍♀️ instagram: lindy_li,319811.0,199.0,6-May-23,10:18 PM,Pennsylvania,Philadelphia,215007.0,9309,623,3195.0,3195,9309,623,False,
