index,Date,URL,Hit Sentence,Influencer,Country,Language,Reach,Engagement,AVE,Sentiment,Key Phrases,Input Name,Keywords,Twitter Authority,Tweet Id,Twitter Id,Twitter Client,Twitter Screen Name,User Profile Url,Twitter Bio,Twitter Followers,Twitter Following,Alternate Date Format,Time,State,City,Views,Likes,Replies,Retweets,Shares,Reactions,Threads,Is Verified,Parent URL
50,12-Nov-2023 01:33PM,http://twitter.com/keithboykin/statuses/1723770969913807284,"A Republican-dominated school board in Bucks County, Pennsylvania made national headlines for banning books. Then last week, Democrats won all 5 seats and swept them out of power.   /uSQM9ZDDS3",@keithboykin,United States,English,249583.0,44443,2308.64,Negative,"books,national headlines,power,school board,seats",(book OR books) NEAR (ban OR banned OR banning OR ban,"banning,books",10.0,"""1723770969913807284""","""21728303""",Twitter for iPhone,Keith Boykin,http://www.twitter.com/keithboykin,"Author, Why Does Everything Have to Be About Race? Former White House aide. National Black Justice Coalition co-founder. Dartmouth College and Harvard Law alum.",249583.0,1187.0,12-Nov-23,1:33 PM,California,Los Angeles,952861.0,36977,473,6751.0,6751,37219,473,False,
126,12-Jun-2023 05:06PM,http://twitter.com/LibraryJournal/statuses/1668364118598856704,UPDATED POST: Gov. Pritzker Signs Bill Making #Illinois First State in the Nation to Outlaw Book Bans   /KyuVE72kEo #libraries #books #bookbans   /vdCW5HSpgT,@LibraryJournal,United States,English,247496.0,25234,2289.34,Neutral,,(book OR books) NEAR (ban OR banned OR banning OR ban,"Book,Bans",10.0,"""1668364118598856704""","""15169290""",Hootsuite Inc.,Library Journal,http://www.twitter.com/LibraryJournal,"Library views, news, and book reviews from LJ staffers",247496.0,415.0,12-Jun-23,5:06 PM,New York,New York City,787524.0,21030,474,3730.0,3730,21030,474,False,
215,02-May-2023 11:38AM,http://twitter.com/charliekirk11/statuses/1653423750271107074,"A federal judge in PA just ordered that to uphold the First Amendment, Satan Clubs have to be allowed at school In leaked texts, Chelsea Clinton admits she's pro porn at school, saying banning sexually explicit books is ""harmful to children"" 27 Democrats in Colorado vote…",@charliekirk11,United States,English,2173672.0,17354,20106.47,Negative,"federal judge,pro porn,school,sexually explicit books",(book OR books) NEAR (ban OR banned OR banning OR ban,"banning,books",10.0,"""1653423750271107074""","""292929271""",Twitter Web App,Charlie Kirk,http://www.twitter.com/charliekirk11,Founder & CEO: @TPUSA • Host: The Charlie Kirk Show • Click the link below to subscribe 🇺🇸,2173672.0,191766.0,2-May-23,11:38 AM,Arizona,Phoenix,1402883.0,13122,1044,3188.0,3188,13122,1044,True,
322,18-Oct-2023 11:13AM, //twitter.com/ReallyAmerican1/statuses/1714660964291801089,"Trump and Republicans are rightfully losing their minds over J.B. Pritzker’s new plan to stop them and their authoritarian movement in 2024. After racking up big wins over the first statewide “ban on book bans” in America and protecting reproductive rights, Governor Pritzker is taking his fight to Republicans across America. But how? JB is honing in on the swing states. And in a major way. His new initiative “Think Big America” could be the vehicle that tips things for Democrats in 2024 Pritzker is pledging millions of dollars, using the most proven effective Democratic issues, to shift the balance of power in states like Ohio, Michigan, Pennsylvania, and Wisconsin. The billionaire Governor, who is also the head of the Democratic Governors Association, has also pledged *millions* to Democratic Governors across America, AND Joe Bidens re-election. This is EXACTLY what the Democrats need, and it couldn’t come at a more perfect time. Drop a ❤️ if you’re grateful for JB’s new initiative, and think think more people like JB need to step up and lead.",@reallyamerican1,Unknown,English,660251.0,14758,6107.32,Neutral,"balance of power,book,effective democratic issues,fight,first statewide “ban,head,joe bidens re-election,millions,millions of dollars,minds,new initiative",(book OR books) NEAR (ban OR banned OR banning OR ban,"ban,book,bans",10.0,"""1714660964291801089""","""767788995962998784""",,Really American 🇺🇸, //twitter.com/ReallyAmerican1,Grassroots political organization producing the most impactful political content every day. Join us.,660251.0,2563.0,18-Oct-23,11:13 AM,,,727475.0,11699,307,2666.0,2666,11785,307,True,
374,29-Jun-2023 12:09PM,http://twitter.com/TheKeystone/statuses/1674450096618971137,Banned Book Giveaway getting set up outside the Moms for Liberty conference in Philadelphia   /S1MJBAubii,@TheKeystone,United States,English,4048.0,10756,37.44,Negative,Moms for Liberty conference,(book OR books) NEAR (ban OR banned OR banning OR ban,"Banned,Book",7.0,"""1674450096618971137""","""1214911363971190784""",Twitter for iPhone,The Keystone,http://www.twitter.com/TheKeystone,Pennsylvania news by and for the people who call Pennsylvania home. Follow our team: @PatrickDBerkery and @AshleyAdams1029.,4048.0,909.0,29-Jun-23,12:09 PM,Pennsylvania,,371963.0,8419,366,1934.0,1934,8456,366,False,
376,08-Nov-2023 09:40AM,http://twitter.com/MalloryMcMorrow/statuses/1722262856077619429,"For the past year, my mom has been a regular at Central Bucks school board meetings speaking out against book bans, anti-LGBTQ policies, and Moms for Liberty nonsense. Last night, decency won big #HateWontWin   /rNtsiECosZ",@MalloryMcMorrow,United States,English,250913.0,12586,2320.95,Negative,"anti-lgbtq policies,book,central bucks school board meetings,last night",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,bans",10.0,"""1722262856077619429""","""860715570""",Twitter for iPhone,Mallory McMorrow,http://www.twitter.com/MalloryMcMorrow,Michigan State Senate Majority Whip | @NotreDame | @raywert's ginger half | Noa's mom,250913.0,4497.0,8-Nov-23,9:40 AM,Michigan,Royal Oak,293450.0,10698,256,1598.0,1598,10732,256,False,
402,20-Jul-2023 12:00PM,http://twitter.com/BarackObama/statuses/1682057937395539974,"With so many books being banned across the country, @DPLA has launched The Banned Book Club to give readers access to e-books that have been banned. Learn more at   /ET5jreRQI4.   /daWmibHujK",@BarackObama,United States,English,132072392.0,11623,1221669.63,Negative,"country,readers",(book OR books) NEAR (ban OR banned OR banning OR ban,"books,banned,Banned,Book",10.0,"""1682057937395539974""","""813286""",Twitter Web App,Barack Obama,http://www.twitter.com/BarackObama,"Dad, husband, President, citizen.",132072392.0,554923.0,20-Jul-23,12:00 PM,"Washington, D.C.","Washington, D.C.",1212789.0,7883,1168,2340.0,2340,8115,1168,True,http://twitter.com/BarackObama/statuses/1682057935810117635
493,05-Jul-2023 12:19PM,http://twitter.com/cmclymer/statuses/1676626881599111169," @HeartlandSignal: We have reached the point where Republican elected officials are pushing for bans on LGBTQ books but encouraging all to read books by Hitler, Stalin, and Mao. ; At Moms for Liberty's Philadelphia event, North Carolina Lt. Gov. Mark Robinson (R) says dictators like Hitler, Stalin and Mao are being taken out of context and promotes reading their writings. ""...It is time for us to get back and start reading some of those quotes.""   /TDXusaIUMZ",@cmclymer,United States,English,401258.0,9138,3711.64,Positive,"LGBTQ books,context,officials,point,quotes,writings",(book OR books) NEAR (ban OR banned OR banning OR ban,"bans,books",10.0,"""1676626881599111169""","""15907183""",Twitter Web App,Charlotte Clymer 🇺🇦,http://www.twitter.com/cmclymer,Writer. Lesbian. Texan. Veteran. Hoya. She. |Rep: @lynnjohnstonlit | @GUPolitics | @CFR_org | cmclymer@gmail.com | subscribe:   /zZjhwNRUgj #BLM,401258.0,6656.0,5-Jul-23,12:19 PM,New Jersey,Piscataway,573530.0,6063,613,2365.0,2462,6063,613,False, //twitter.com/HeartlandSignal/statuses/1676612484570988547
505,12-Nov-2023 05:15PM,http://twitter.com/Phil_Lewis_/statuses/1723826804421431639,"A Republican-led school board in Pennsylvania made news for banning books. On election night, voters flipped it to majority Democrat Residents were exhausted by the chaos that had become a normal part of monthly school board meetings, one candidate said   /dtK1KLxFOd",@Phil_Lewis_,United States,English,372961.0,8776,3449.89,Negative,"books,candidate,chaos,election night,monthly school board meetings,news,voters",(book OR books) NEAR (ban OR banned OR banning OR ban,"banning,books",10.0,"""1723826804421431639""","""286998245""",Twitter for iPhone,philip lewis,http://www.twitter.com/Phil_Lewis_,detroit native. senior editor @huffpost. subscribe to my free newsletter below! 👇🏾,372961.0,2737.0,12-Nov-23,5:15 PM,"Washington, D.C.","Washington, D.C.",446322.0,7128,67,1356.0,1356,7353,67,True,
509,23-Nov-2023 10:51PM,http://twitter.com/RobertDownen_/statuses/1727897706822095213,"After being swept by Democrats, a Pennsylvania school board backed by Moms For Liberty approved a $700,000 exit deal for a superintendent who backed their books bans and other far-right policies.   /eSu6eqdcAe",@RobertDownen_,United States,English,21362.0,8692,197.6,Negative,"books,exit deal,right policies,superintendent",(book OR books) NEAR (ban OR banned OR banning OR ban,"books,bans",8.0,"""1727897706822095213""","""2842694921""",Twitter for iPhone,Robert Downen,http://www.twitter.com/RobertDownen_,"Politics + extremism @TexasTribune. I like Hip Hop, em dashes & Midwest Emo. ""Your ability to create chaos is truly unrivaled"" -@JoshuaFechter",21362.0,16848.0,23-Nov-23,10:51 PM,Texas,Texas City,623246.0,5906,321,2255.0,2255,6116,321,False,
