index,Date,URL,Hit Sentence,Influencer,Country,Language,Reach,Engagement,AVE,Sentiment,Key Phrases,Input Name,Keywords,Twitter Authority,Tweet Id,Twitter Id,Twitter Client,Twitter Screen Name,User Profile Url,Twitter Bio,Twitter Followers,Twitter Following,Alternate Date Format,Time,State,City,Views,Likes,Replies,Retweets,Shares,Reactions,Threads,Is Verified,Parent URL
19,06-Jul-2023 06:53AM,http://twitter.com/davidhth/statuses/1676907269403942914,Adrienne Martin finally had enough of extremists in her deep-red community trying to get books banned and to inject religion into her child’s school. Listen to her kick-ass speech before the Granbury Texas school board. It’s going viral for a reason. @MrsAMartini   /KkHY2PVZaz,@davidhth,United States,English,6046.0,69182,55.93,Negative,"books,child,extremists,kick-ass speech,reason,red community,religion,school",(book OR books) NEAR (ban OR banned OR banning OR ban,"books,banned",7.0,"""1676907269403942914""","""18025106""",Twitter for iPhone,David Heath,http://www.twitter.com/davidhth,"Author of Longshot: The Inside Story of the Race for a COVID-19 Vaccine. Former @CNN, @publicintegrity. See me in Netflix’s Dirty Money.",6046.0,2497.0,6-Jul-23,6:53 AM,Maryland,Bethesda,2210491.0,47113,1281,17291.0,18762,49139,1281,False,
39,02-Mar-2023 09:53PM,http://twitter.com/ErinInTheMorn/statuses/1631487855527706627,We told you that gay people were next. Texas SB1443 would ban from school libraries any books that have characters who are of the same sex in a relationship. It also bans trans characters. It bans website access with the above too. Don't think they'll stop with trans people.   /rcBMC3VG6g,@ErinInTheMorn,United States,English,129480.0,38606,1197.69,Negative,"books,relationship,same sex,school libraries,trans characters,website access",(book OR books) NEAR (ban OR banned OR banning OR ban,"ban,books",10.0,"""1631487855527706627""","""1115826452715511809""",Twitter Web App,Erin Reed,http://www.twitter.com/ErinInTheMorn,"Activist, content creator, legislative researcher, mom, D&D DM. Tips:   /mkAPnaC2gz // Booking-content-follow:   /sSHejHvjUl // Venmo erin888",129480.0,1691.0,2-Mar-23,9:53 PM,Maryland,Maryland City,1707374.0,29328,426,8852.0,8852,29328,426,False,
65,10-Apr-2023 06:28PM,http://twitter.com/SawyerHackett/statuses/1645554493193428997,"Wow. Two weeks ago a judge ordered the public library in Llano County, TX to return books banned by conservative activists. Now, this week county officials will meet to discuss eliminating the library entirely. More from @serrano_alej:   /kW8l2sodzJ   /uUlXgyEUrX",@SawyerHackett,Unknown,English,54950.0,29479,508.29,Negative,"TX to return,books,conservative activists,judge,public library",(book OR books) NEAR (ban OR banned OR banning OR ban,"books,banned",9.0,"""1645554493193428997""","""219141142""",Twitter for iPhone,Sawyer Hackett,http://www.twitter.com/SawyerHackett,"Democratic strategist and communications consultant. Senior Advisor - @JulianCastro, @BoldProgressive.",54950.0,3890.0,10-Apr-23,6:28 PM,,,6034195.0,17439,1686,10354.0,10354,17439,1686,True,
90,08-May-2023 01:06PM,http://twitter.com/ReallyAmerican1/statuses/1655620127986003982,"A TALE OF TWO DIFFERENT VISIONS FOR AMERICA: Under Greg Abbotts leadership, Texas has banned more books than *any* state in America, while simultaneously suffering from an unprecedented epidemic of mass shootings. At the same time, Abbott has cut hundreds of millions in mental…   /yA1NYYGzLg",@ReallyAmerican1,Unknown,English,627198.0,28526,5801.58,Negative,"DIFFERENT VISIONS,Greg Abbotts leadership,TALE,books,cut hundreds,mass shootings,millions,unprecedented epidemic",(book OR books) NEAR (ban OR banned OR banning OR ban,"banned,books",10.0,"""1655620127986003982""","""767788995962998784""",Twitter for iPhone,Really American 🇺🇸,http://www.twitter.com/ReallyAmerican1,Grassroots political organization and media producing the most impactful political content on a daily basis. Join us.,627198.0,2554.0,8-May-23,1:06 PM,,,1742916.0,21599,1066,5861.0,5861,21599,1066,True,
106,29-Mar-2023 02:15PM,http://twitter.com/RepMoskowitz/statuses/1641141925536202764,Do you think the parents of gun violence victims care about House Republicans’ hearings on DC public urination or banning books? Dead kids can’t read.   /xFJRCyt2TX,@RepMoskowitz,United States,English,7158.0,27161,66.21,Negative,"Dead kids,books,parents of gun violence victims,public urination",(book OR books) NEAR (ban OR banned OR banning OR ban,"banning,books",7.0,"""1641141925536202764""","""1610009027743830018""",Twitter for iPhone,Congressman Jared Moskowitz,http://www.twitter.com/RepMoskowitz,"Father, husband, sneaker head, and Congressman for Florida’s 23rd Congressional District.",7158.0,497.0,29-Mar-23,2:15 PM,Florida,Parkland,1025367.0,20459,700,5382.0,5793,20668,700,False,
119,23-Jan-2023 11:07PM,http://twitter.com/OccupyDemocrats/statuses/1617735894194356225,"BREAKING: Barnes & Noble bookstore blasts Florida and Texas Republican Governor Ron DeSantis and Greg Abbott, declaring that their “banning” of books is “pretty suspect.” RT THIS TO THANK BARNES & NOBLE FOR CALLING THEM OUT!",@OccupyDemocrats,United States,English,515832.0,23660,4771.45,Negative,"BREAKING,books,suspect",(book OR books) NEAR (ban OR banned OR banning OR ban,"banning,books",10.0,"""1617735894194356225""","""878284831""",Twitter for iPhone,Occupy Democrats,http://www.twitter.com/OccupyDemocrats,Democratic political organization & news website. NY Times determined we dominated Trump on Facebook before his ban. Follow us on Tribel:  //bit.ly/3gjUkli,515832.0,23565.0,23-Jan-23,11:07 PM,,,328010.0,16591,462,6607.0,6607,16591,462,True,
124,12-Jun-2023 05:21PM,http://twitter.com/WGNNews/statuses/1668368043720732674,"With the stroke of his pen, Governor J.B. Pritzker made Illinois the first state in the nation to ban book bans.   /EOSTXOU1jz",@WGNNews,United States,English,394869.0,25691,3652.54,Negative,"book bans,nation,stroke",(book OR books) NEAR (ban OR banned OR banning OR ban,"ban,book,bans",10.0,"""1668368043720732674""","""14790524""",TweetDeck,WGN TV News,http://www.twitter.com/WGNNews,"Chicago's very own source for news, weather, sports and entertainment. Join us on Facebook http://on.fb.me/cOkIXr & Instagram  //instagram.com/wgnnews/",394869.0,1175.0,12-Jun-23,5:21 PM,Illinois,Chicago,684805.0,21069,1074,3548.0,3548,21069,1074,False,
202,20-May-2023 07:23PM,http://twitter.com/missykender/statuses/1660063686709637121,"@sslibfriends Let me guess, it's on FL, TX's, OH, AL banned books lists, right?",@missykender,United States,English,8472.0,21218,78.37,Neutral,books lists,(book OR books) NEAR (ban OR banned OR banning OR ban,"banned,books",7.0,"""1660063686709637121""","""45214107""",Twitter for Android,Missy the Pissed-Off Patriot 🇺🇲🇺🇦#FireDeJoy,http://www.twitter.com/missykender,"On Post, same name. Mastodon: @missykender@ravenation.club #FoulMouthedWife #NWnerd Full Metal Snowflake #RESIST",8472.0,9314.0,20-May-23,7:23 PM,Washington,Seattle,751460.0,20813,58,310.0,310,20850,58,False,http://twitter.com/sslibfriends/statuses/1659998663987585024
256,12-May-2023 04:11PM,http://twitter.com/MeidasTouch/statuses/1657116346335875091,"Wow. Texas Democrat @jamestalarico just said it perfectly on the Lights On with Jessica Denson podcast. ""Republican politicians in this capitol have banned books in the name of protecting children. Republican politicians in this capitol have banned drag queens in the name of…   /Gy7PuMnkWY",@MeidasTouch,Unknown,English,1079989.0,14679,9989.9,Negative,"Jessica Denson podcast,books,capitol,children,name,queens",(book OR books) NEAR (ban OR banned OR banning OR ban,"banned,books",10.0,"""1657116346335875091""","""1243560408025198593""",Twitter Web App,MeidasTouch,http://www.twitter.com/MeidasTouch,Producing the most influential and impactful pro-democracy content in the world. MeidasTouch Network. MeidasTouch PAC. Meidas Merch. Because TRUTH is golden.,1079989.0,1921.0,12-May-23,4:11 PM,,,1022501.0,11090,282,3307.0,3307,11090,282,True,
273,13-Oct-2023 05:50PM,http://twitter.com/jamestalarico/statuses/1712948847188517223,"Two billionaire mega-donors are trying to dismantle public education in Texas. Voucher scams, book bans, CRT scares — it’s all part of their plan to close our neighborhood schools. I explained their strategy in a community meeting… #txlege   /rqsNJqkIFG",@jamestalarico,Unknown,English,95374.0,16950,882.21,Neutral,"billionaire,book,community meeting,mega-donors,neighborhood schools,plan,public education,strategy,voucher scams",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,bans",10.0,"""1712948847188517223""","""77098233""",Twitter for iPhone,James Talarico,http://www.twitter.com/jamestalarico,"Texas State Representative, former middle school teacher, proud progressive, and eighth generation Texan. 1 John 4:8 #PeopleOverPolitics",95374.0,6136.0,13-Oct-23,5:50 PM,,,792991.0,11516,343,4668.0,4668,11939,343,False,
