index,Date,URL,Hit Sentence,Influencer,Country,Language,Reach,Engagement,AVE,Sentiment,Key Phrases,Input Name,Keywords,Twitter Authority,Tweet Id,Twitter Id,Twitter Client,Twitter Screen Name,User Profile Url,Twitter Bio,Twitter Followers,Twitter Following,Alternate Date Format,Time,State,City,Views,Likes,Replies,Retweets,Shares,Reactions,Threads,Is Verified,Parent URL
13,12-Sep-2023 11:57AM, //twitter.com/CalltoActivism/statuses/1701626099648614674,"JUST NOW: Illinois Secretary of State Alexi Giannoulias SILENCES Lindsey Graham during a hearing on Republican book banning: He says it PERFECTLY. 👇 “Don’t let one parent who disagrees with a certain world view determine whether a book should be in a library. That goes against the very point of our Democracy, (it hinders) the means to educate our youth, and to allow them to think for themselves.” Illinois is the first state to enact a law that requires state libraries uphold a pledge not to ban material because of partisan disapproval. Smash that heart if you agree books should be READ and not BANNED! 💙",@calltoactivism,United States,English,1051408.0,74218,9725.52,Neutral,"book,certain world view,heart,library,material,parent,partisan disapproval,pledge,very point,youth",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,banning",10.0,"""1701626099648614674""","""819994707061248001""",,CALL TO ACTIVISM, //twitter.com/CalltoActivism,We work with your favorite Democratic candidates and help them win. Pew Research credits us with overshadowing MAGA on social media.,1051408.0,1921.0,12-Sep-23,11:57 AM,,,2682633.0,56049,3941,13330.0,13330,56947,3941,False,
151,09-Jun-2023 07:23AM,http://twitter.com/OccupyDemocrats/statuses/1667130328949968898,BREAKING: Over 100 furious parents and multiple Republican lawmakers storm the Utah Capitol to “protest a school district’s decision to remove the Bible from middle and elementary school libraries after a parent brilliantly uses a Republican book ban against “woke books” and…   /kpfhvywJF2,@OccupyDemocrats,United States,English,560046.0,22117,5180.43,Negative,"BREAKING,Bible from middle,Republican book ban,decision,elementary school libraries,furious parents,multiple Republican lawmakers storm,protest,school district",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,ban,books",10.0,"""1667130328949968898""","""878284831""",Twitter for iPhone,Occupy Democrats,http://www.twitter.com/OccupyDemocrats,Democratic political organization & news website. NY Times determined we dominated Trump on Facebook before his ban. Follow us on Tribel:  //bit.ly/3gjUkli,560046.0,23533.0,9-Jun-23,7:23 AM,,,1169401.0,16550,1262,4305.0,4305,16550,1262,True,
500,11-Dec-2022 09:33AM,http://twitter.com/ruthbenghiat/statuses/1601948166630383618," @jonfreadom: When Libraries and Librarians Become Targets, Authoritarianism is on the Rise   /PYHBDAUgTM ; This is the children's section in Patmos Library in Jamestown, Michigan. Local citizens voted to defund it in Nov, after it refused to ban all LGBTQ+ books. Now a local politician has suggested shutting down the library ""by force.""   /JXvLISdb7M…   /QzCyOlcEGp",@ruthbenghiat,United States,English,186789.0,6770,1727.8,Neutral,"Local citizens,books,children,down the library,force,local politician,section",(book OR books) NEAR (ban OR banned OR banning OR ban,"ban,books",10.0,"""1601948166630383618""","""985749294""",Twitter Web App,Ruth Ben-Ghiat,http://www.twitter.com/ruthbenghiat,"Authoritarians, propaganda /ruthbenghiat.com /Prof NYU/Columnist @MSNBC /Book Strongmen/ @caaspeakers /Substack democracy threats⤵️/@ruthbenghiat@mstdn.social",186789.0,2406.0,11-Dec-22,9:33 AM,,,,4323,215,,2232,4323,215,True, //twitter.com/jonfreadom/statuses/1601204088472887299
617,07-Feb-2023 10:43AM,http://twitter.com/pjampaganza/statuses/1622984518159286272,QUOTE OF THE DAY: When you ban BOOKS before GUNS your admitting you’re more afraid of children LEARNING then you are about children DYING. Drop a ❤️ if you agree.,@pjampaganza,United States,English,19087.0,5346,176.55,Negative,"GUNS,QUOTE,ban BOOKS,children",(book OR books) NEAR (ban OR banned OR banning OR ban,"ban,BOOKS",8.0,"""1622984518159286272""","""376022178""",Twitter for iPad,Papo,http://www.twitter.com/pjampaganza,"Podcast Host, Motivation Speaker, Influencer, Entrepreneur, DAD of 2, ❤️PoliticalConversations, Love&Kindness Rules. Animal💙Lover! ProChoice, D-BLUE/ALL RIGHTS",19087.0,18919.0,7-Feb-23,10:43 AM,New York,,34804.0,3356,544,1327.0,1446,3356,544,False,
624,20-May-2023 11:49PM,http://twitter.com/tedlieu/statuses/1660130674677010432," @MSNBC: The party that supports banning books is the party that is on the wrong side of history. ; Nearly 1,500 instances of book-banning were charted across the U.S. in the first half of the 2022-23 school year, a new report finds, with bans most prevalent in Texas, Florida, Missouri, Utah, and South Carolina. (via The ReidOut Blog)   /mWNzhHde5Z",@tedlieu,United States,English,1659856.0,5897,15353.67,Negative,"book,first half,history,instances,new report,party,wrong side",(book OR books) NEAR (ban OR banned OR banning OR ban,"banning,books,book",10.0,"""1660130674677010432""","""21059255""",Twitter for iPhone,Ted Lieu,http://www.twitter.com/tedlieu,"Husband of Betty, the love of my life. Father of two great kids. USAF veteran. Member of Congress. In that order. Also, empathy is good.",1659856.0,11370.0,20-May-23,11:49 PM,California,,247853.0,3924,1155,818.0,818,3924,1155,True, //twitter.com/MSNBC/statuses/1660125935658582017
658,02-Jun-2023 07:58AM,http://twitter.com/krassenstein/statuses/1664602261832495106,Banning books is a SLIPPERY SLOPE. The King James Bible has been removed from ALL elementary and middle school libraries throughout the Davis School District in Utah after someone challenged its contents. The school district decided to ban the bible after they found that it has…   /5aE7KvZmOd,@krassenstein,United States,English,745069.0,5725,6891.89,Negative,"SLIPPERY SLOPE,books,contents,middle school libraries,school district",(book OR books) NEAR (ban OR banned OR banning OR ban,"Banning,books",10.0,"""1664602261832495106""","""133938408""",Twitter Web App,Brian Krassenstein,http://www.twitter.com/krassenstein,"Journalist, Tech Entrepreneur, Futurist - Fighting hate and tackling conspiracy theories - Newsletter: http://Krassenstein.news - Follow My Brother: @EdKrassen.",745069.0,522355.0,2-Jun-23,7:58 AM,Florida,Fort Myers,1861117.0,3841,1372,512.0,512,3841,1372,True,
775,14-Nov-2023 11:54PM,http://twitter.com/Pink/statuses/1724652096966840771,Many organizations have spent the last TWO+ YEARS tracking and raising awareness about the spread of book bans; go follow them: @FLFreedomRead @ncacensorship @FReadomFights @psdduval @UABookBans @everylibrary @diversebooks @BookRiot @ACLU_SC @LetUtahRead @penamerica,@Pink,United States,English,30839716.0,5095,285267.37,Neutral,"awareness,many organizations,spread of book bans",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,bans",10.0,"""1724652096966840771""","""28706024""",Twitter for iPhone,P!nk,http://www.twitter.com/Pink,TRUSTFALL Deluxe out 12/1 💜 “Dreaming” with @theofficialsting & @marshmello out now 💭 TRUSTFALL Tour tickets on sale now!,30839716.0,482.0,14-Nov-23,11:54 PM,California,Los Angeles,256830.0,3963,212,881.0,881,4002,212,True,
829,03-Jun-2023 03:34PM,http://twitter.com/NoLieWithBTC/statuses/1665079620276813825,A Utah school district has now been forced to ban the Bible under a new Republican book ban law after a single parent tried to point out the absurdity of the law by reporting the book for containing “vulgarity or violence.”   /ZkTxL6n2rx,@NoLieWithBTC,United States,English,389865.0,4084,3606.25,Negative,"book,new Republican book ban law,out the absurdity,single parent,vulgarity or violence",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,ban",10.0,"""1665079620276813825""","""1268223690480615424""",Twitter for iPhone,No Lie with Brian Tyler Cohen,http://www.twitter.com/NoLieWithBTC,Podcast covering the top stories & interviews with the biggest names in politics. Hosted by @briantylercohen,389865.0,595.0,3-Jun-23,3:34 PM,California,Los Angeles,205601.0,3352,187,545.0,545,3352,187,True,
948,06-Feb-2023 12:50PM,http://twitter.com/Forbes/statuses/1622654041133121536,"JUST IN: Gov. JB Pritzker slams states ""banning books"" & says that ""people are choosing not to go to those states where they're restricting freedoms & instead coming to Illinois."" According to the Census, Illinois lost 104,000 citizens, the third biggest loss of all states.   /K0v9zbl3mK",@Forbes,United States,English,18708351.0,3681,173052.25,Negative,"books,citizens,freedoms,states,third biggest loss",(book OR books) NEAR (ban OR banned OR banning OR ban,"banning,books",10.0,"""1622654041133121536""","""91478624""",Twitter Media Studio,Forbes,http://www.twitter.com/Forbes,"Official account of Forbes, the world’s leading voice for entrepreneurial success and free enterprise, and home to breaking news, business, money and more.",18708351.0,5037.0,6-Feb-23,12:50 PM,New York,New York City,889426.0,2657,627,397.0,397,2657,627,True,
1177,12-Sep-2023 12:19PM, //twitter.com/ReallyAmerican1/statuses/1701631601875022101," @CalltoActivism: If there's one thing you watch today, make it this. Make sure EVERYONE sees this!   /JVO4aLOwXx ; JUST NOW: Illinois Secretary of State Alexi Giannoulias SILENCES Lindsey Graham during a hearing on Republican book banning: He says it PERFECTLY. 👇 “Don’t let one parent who disagrees with a certain world view determine whether a book should be in a library. That goes against the very point of our Democracy, (it hinders) the means to educate our youth, and to allow them to think for themselves.” Illinois is the first state to enact a law that requires state libraries uphold a pledge not to ban material because of partisan disapproval. Smash that heart if you agree books should be READ and not BANNED! 💙",@reallyamerican1,Unknown,English,,3174,0.0,Neutral,"book,certain world view,heart,library,material,parent,partisan disapproval,pledge,very point",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,banning",,"""1701631601875022101""","""767788995962998784""",,Really American 🇺🇸, //twitter.com/ReallyAmerican1,Grassroots political organization producing the most impactful political content every day. Join us. Message us for social media help.,,,12-Sep-23,12:19 PM,,,166987.0,2251,75,848.0,848,2251,75,True, //twitter.com/CalltoActivism/statuses/1701626099648614674
