index,Date,URL,Tweet,Influencer,Country,Language,Reach,Engagement,AVE,Sentiment,Key Phrases,Input Name,Keywords,Twitter Authority,Tweet Id,Twitter Id,Twitter Client,Twitter Screen Name,User Profile Url,Twitter Bio,Twitter Followers,Twitter Following,Alternate Date Format,Time,State,City,Views,Likes,Replies,Retweets,Shares,Reactions,Threads,Is Verified,Parent URL
44,24-Dec-2022 12:35AM,http://twitter.com/msolurin/statuses/1606523909276319745, @MrzIDGaF: YOU SEE WHAT HAPPENS WHEN YOU BAN BOOKS   /AcDWEXBrrm ; Tory Lanez is our modern day Emmitt Till,@msolurin,United States,English,97532.0,40866,902.17,Neutral,BAN BOOKS,(book OR books) NEAR (ban OR banned OR banning OR ban,"BAN,BOOKS",10.0,"""1606523909276319745""","""1046938994766958592""",Twitter for iPhone,Olayemi Olurin,http://www.twitter.com/msolurin,🇧🇸🇳🇬 in NYC | Movement Lawyer | Political Commentator | Writer | substack: olurinatti,97532.0,3203.0,24-Dec-22,12:35 AM,New York,Brooklyn,1618834.0,35566,94,5206.0,5206,35566,94,False, //twitter.com/MrzIDGaF/statuses/1606453167419699200
334,02-Jun-2023 02:28PM,http://twitter.com/LqLana/statuses/1664700533809074183,DeSantis is campaigning. He promised to stick it to the libs. He promises to chase woke culture and rid the world of it. He promises to ban books and art if it makes a racist bigot uncomfortable. He promises to exclude diversity. He promises to litigate with Mickey…   /DW4AGljJMa,@LqLana,United States,English,43240.0,11227,399.97,Negative,"books and art,culture,diversity,racist bigot,world",(book OR books) NEAR (ban OR banned OR banning OR ban,"ban,books",9.0,"""1664700533809074183""","""1514803698""",Twitter for iPhone,LanaQuest aka RosaSparks,http://www.twitter.com/LqLana,Host of YouTube’s The Quest Show - highlighting Dem candidates & news that matters #TheQuestShow Blogger for http://FreshActionNow.Com #FreshResists,43240.0,36977.0,2-Jun-23,2:28 PM,,,293528.0,7956,344,2857.0,2857,8026,344,True,
1013,10-Mar-2023 10:35PM,http://twitter.com/ResisterSis20/statuses/1634397588970524677,"If it looks like a Fascists, strips away rights like a Fascist, persecutes Queers like a Fascist, bans books like a Fascists, and takes control of the media like a Fascists, it is without a doubt, a fucking Fascist. #FreshResists   /gW4Ag6LyeV",@ResisterSis20,Unknown,English,124914.0,2698,1155.45,Negative,"books,control,doubt,media,rights,strips",(book OR books) NEAR (ban OR banned OR banning OR ban,"bans,books",10.0,"""1634397588970524677""","""328756439""",Twitter for iPad,Southern Sister Resister - Wordsmith #IAmTheStorm,http://www.twitter.com/ResisterSis20,"“Well behaved women seldom make history” (Ulrich) I quit worrying about what other people though of me years ago. I am a reader, writer & thinker.",124914.0,75228.0,10-Mar-23,10:35 PM,,,24868.0,1602,80,1016.0,1016,1602,80,False,
1263,27-Mar-2023 03:22PM,http://twitter.com/AmoneyResists/statuses/1640434079140028416,.@GOP: Stop pretending you’re protecting children by banning books (you aren’t) and join us in BANNING ASSAULT WEAPONS and implement universal background checks to finally put an end to this epidemic of gun violence. You have traumatized an entire generation of Americans. Enough.,@AmoneyResists,United States,English,197813.0,2308,1829.77,Negative,"ASSAULT WEAPONS,books,children,entire generation,gun violence,universal background",(book OR books) NEAR (ban OR banned OR banning OR ban,"banning,books",10.0,"""1640434079140028416""","""739844197935644672""",Twitter for iPhone,Andrew Wortman,http://www.twitter.com/AmoneyResists,HE/HIM. Democratic Activist. Gay AF. Dems are pro-U.S. @GOP despises America & democracy. 51-49 DEM SENATE MAJORITY #BlackLivesMatter #ExpandTheCourt #FuckElon,197813.0,97514.0,27-Mar-23,3:22 PM,Rhode Island,Warwick,14537.0,1668,24,604.0,616,1668,24,False,
1624,01-May-2023 12:56PM,http://twitter.com/jodipicoult/statuses/1653081002690985985,"Thank you, Seattle Public Library. If you are 13+ & live somewhere books are being banned, you can get a FREE digital library card and read whatever you like. As it should be.   /RKTZsjgmwL",@jodipicoult,Unknown,English,190144.0,1716,1758.83,Positive,"FREE digital library card,books",(book OR books) NEAR (ban OR banned OR banning OR ban,"books,banned",10.0,"""1653081002690985985""","""33705556""",Twitter Web App,Jodi Picoult,http://www.twitter.com/jodipicoult,author/mom/Wonder Woman/Queen of the North She/her/hers,190144.0,723.0,1-May-23,12:56 PM,,,57080.0,1181,10,499.0,525,1181,10,False,
1721,24-May-2023 06:10PM,http://twitter.com/ChidiNwatu/statuses/1661494886066008065,@RonDeSantis I’m running to do this nationally. - BAN BOOKS. - SIGN 6-WEEK ABORTION BAN. - END CONCEALED WEAPONS PERMITS. - RESTRICT DRAG SHOWS EXPANDED “DON'T SAY GAY” LAW. - BLOCK AP AFRICAN AMERICAN STUDIES. - DRIVE JOBS AND INVESTMENT OUT OF AMERICA.,@ChidiNwatu,Unknown,English,21643.0,1899,200.2,Neutral,"BOOKS,nationally",(book OR books) NEAR (ban OR banned OR banning OR ban,"BAN,BOOKS",9.0,"""1661494886066008065""","""115129636""",Twitter for iPhone,𝐂𝐡𝐢𝐝𝐢,http://www.twitter.com/ChidiNwatu,Dad-In-Chief. Never forget WHO you are…and WHOSE you are! Gunner! Post:@chidinwatu Tribel: @chidinwatu #SilenceIsComplicity #SayItLouder #Udo,21643.0,1248.0,24-May-23,6:10 PM,,,83516.0,1581,149,169.0,169,1581,149,True,http://twitter.com/RonDeSantis/statuses/1661491799393964034
2056,14-May-2023 02:57PM,http://twitter.com/RepJayapal/statuses/1657822335129489409,"Amid the recent wave of book bans, Seattle Public Library (@SPLBuzz) is stepping up. Anyone in the U.S. outside of King County and aged 13-26 can apply for a free library e-card to access Seattle’s 215,000 unique titles and 700,000 e-books for one year!   /T6m2dZfoFa",@RepJayapal,United States,English,614860.0,1328,5687.45,Neutral,"book,free library e-card,recent wave,unique titles",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,bans",10.0,"""1657822335129489409""","""815733290955112448""",Twitter Web App,Rep. Pramila Jayapal,http://www.twitter.com/RepJayapal,"Congresswoman, lifelong organizer, mom. Proudly serving WA-07. Chair of @USProgressives, Member of @HouseJudiciary, @EdLaborCmte. She/her.",614860.0,2654.0,14-May-23,2:57 PM,Washington,Seattle,41472.0,931,53,344.0,344,931,53,False,
2530,13-Oct-2023 09:36PM,http://twitter.com/MomsAGAbbott/statuses/1713005905887768643,"Katy ISD who has the largest number of Book Bans in Texas passed out Bibles that look like during middle school dismissal! WTAF! This is what Christian Nationalism looks like ⬇️ we need separation of Church and State, this is indoctrination.   /AOLTBCOgnU",@MomsAGAbbott,United States,English,78442.0,1303,725.59,Negative,"largest number,middle school dismissal",(book OR books) NEAR (ban OR banned OR banning OR ban,"Book,Bans",10.0,"""1713005905887768643""","""1425867981112893448""",Twitter for iPhone,Mothers4Democracy/MothersAgainstGregAbbott,http://www.twitter.com/MomsAGAbbott,"We are Democrats, Independents, & moderate Republicans fighting for Democracy for ALL Americans. Support our movement: http://Actblue.com/donate/TXMoms",78442.0,5225.0,13-Oct-23,9:36 PM,,,37303.0,872,68,339.0,363,872,68,False,
2850,13-Nov-2023 01:39PM,http://twitter.com/lesleyabravanel/statuses/1724135009500463539,NOT ALL HEROES WEAR CAPES: Pink to give away banned books at Florida tour stops #BansoffOurBooks #Floriduh #DeSantisDestroysFlorida   /UZdR2DPBkd,@lesleyabravanel,Unknown,English,71762.0,1119,663.8,Negative,"capes,pink to give,tour",(book OR books) NEAR (ban OR banned OR banning OR ban,"banned,books",9.0,"""1724135009500463539""","""27943005""",Twitter Web App,Lesley Abravanel 🪩,http://www.twitter.com/lesleyabravanel,"Disco-loving, fascism fighting scribe, game show champ, yenta, wife, twin mama, hot sauce collector, Bloody Mary maven, word nerd, & says @NYPost, savvy gadfly.",71762.0,55972.0,13-Nov-23,1:39 PM,,,7675.0,856,29,234.0,234,856,29,False,
3116,12-Sep-2023 09:42AM, //twitter.com/Giannoulias/statuses/1701592199350419871,"I am preparing to join the Senate Judiciary Committee this morning to call out Republican book bans. As Illinois' Secretary of State, I am committed to making sure our students are able to learn without censorship. Watch as I testify today:   /DlS4WfAre7   /6j4Oz1AvRn",@giannoulias,United States,English,37082.0,1017,343.01,Neutral,"morning,out republican book bans,students",(book OR books) NEAR (ban OR banned OR banning OR ban,"book,bans",9.0,"""1701592199350419871""","""71360328""",,Alexi Giannoulias, //twitter.com/Giannoulias,"Proud dad & husband, ex-hooper and 38th Illinois Secretary of State.",37082.0,200.0,12-Sep-23,9:42 AM,Illinois,Chicago,12761.0,715,183,119.0,119,715,183,False,
